"","x"
"4391",-27.23
"4392",-53.2
"4393",-69.39
"4394",-72.57
"4395",-63.52
"4396",-45.86
"4397",-24
"4398",-1.13
"4399",21.82
"4400",45.16
"4401",69.09
"4402",92.41
"4403",112.69
"4404",127.17
"4405",134.37
"4406",134.5
"4407",129.08
"4408",119.91
"4409",108.17
"4410",94.19
"4411",77.95
"4412",59.75
"4413",40.58
"4414",22.03
"4415",5.76
"4416",-7.11
"4417",-16.41
"4418",-22.89
"4419",-27.93
"4420",-32.91
"4421",-38.81
"4422",-45.9
"4423",-53.64
"4424",-61.17
"4425",-67.46
"4426",-71.82
"4427",-74.05
"4428",-74.37
"4429",-73.21
"4430",-71.07
"4431",-68.31
"4432",-65.02
"4433",-61
"4434",-55.71
"4435",-48.34
"4436",-38.2
"4437",-25.02
"4438",-9.32
"4439",7.47
"4440",23.31
"4441",36.05
"4442",44.04
"4443",46.56
"4444",43.83
"4445",36.71
"4446",26.14
"4447",13.04
"4448",-1.77
"4449",-17.32
"4450",-32.45
"4451",-45.85
"4452",-56.44
"4453",-63.65
"4454",-67.59
"4455",-69
"4456",-68.77
"4457",-67.68
"4458",-66.06
"4459",-63.85
"4460",-60.87
"4461",-56.97
"4462",-52.2
"4463",-46.85
"4464",-41.4
"4465",-36.26
"4466",-31.93
"4467",-28.65
"4468",-26.45
"4469",-25.03
"4470",-23.78
"4471",-21.77
"4472",-18.05
"4473",-11.84
"4474",-2.87
"4475",8.4
"4476",20.92
"4477",33.2
"4478",43.77
"4479",51.47
"4480",55.66
"4481",56.25
"4482",53.59
"4483",48.34
"4484",41.35
"4485",33.62
"4486",26.16
"4487",19.82
"4488",15.18
"4489",12.34
"4490",10.95
"4491",10.47
"4492",10.35
"4493",10.13
"4494",9.5
"4495",8.28
"4496",6.26
"4497",3.3
"4498",-0.7
"4499",-5.87
"4500",-12.47
"4501",-20.73
"4502",-30.76
"4503",-41.91
"4504",-52.73
"4505",-60.96
"4506",-64.2
"4507",-60.87
"4508",-50.83
"4509",-35.51
"4510",-17.39
"4511",0.83
"4512",17.1
"4513",30.12
"4514",39.37
"4515",44.93
"4516",47.11
"4517",46.55
"4518",44.14
"4519",40.89
"4520",37.73
"4521",35.34
"4522",33.85
"4523",33.05
"4524",32.54
"4525",31.86
"4526",30.67
"4527",28.91
"4528",26.6
"4529",23.9
"4530",20.91
"4531",17.63
"4532",13.84
"4533",9.26
"4534",3.46
"4535",-3.68
"4536",-11.79
"4537",-19.85
"4538",-26.24
"4539",-29.28
"4540",-27.73
"4541",-21.33
"4542",-10.93
"4543",1.63
"4544",14.28
"4545",25.28
"4546",33.56
"4547",38.79
"4548",41.03
"4549",40.51
"4550",37.63
"4551",32.96
"4552",27.3
"4553",21.68
"4554",16.99
"4555",13.81
"4556",12.13
"4557",11.42
"4558",10.93
"4559",10.05
"4560",8.45
"4561",6.2
"4562",3.45
"4563",0.27
"4564",-3.42
"4565",-7.75
"4566",-12.9
"4567",-18.92
"4568",-25.69
"4569",-32.92
"4570",-39.91
"4571",-45.67
"4572",-48.99
"4573",-48.82
"4574",-44.68
"4575",-37.1
"4576",-27.77
"4577",-19.16
"4578",-13.63
"4579",-12.61
"4580",-16.01
"4581",-22.27
"4582",-29.08
"4583",-34.3
"4584",-36.63
"4585",-35.93
"4586",-32.94
"4587",-28.72
"4588",-24.11
"4589",-19.6
"4590",-15.4
"4591",-11.76
"4592",-9.13
"4593",-7.8
"4594",-7.79
"4595",-8.56
"4596",-9.25
"4597",-8.86
"4598",-6.85
"4599",-3.5
"4600",0.22
"4601",2.98
"4602",3.72
"4603",2.4
"4604",0.19
"4605",-0.69
"4606",2.27
"4607",10.97
"4608",25.82
"4609",45.54
"4610",67.76
"4611",89.82
"4612",109.64
"4613",126.09
"4614",138.69
"4615",147.06
"4616",150.55
"4617",148.3
"4618",139.9
"4619",126.01
"4620",108.7
"4621",90.75
"4622",75.06
"4623",63.59
"4624",57
"4625",54.59
"4626",54.71
"4627",55.29
"4628",54.21
"4629",49.65
"4630",40.33
"4631",25.79
"4632",6.54
"4633",-15.66
"4634",-38.24
"4635",-58.21
"4636",-72.84
"4637",-80.38
"4638",-80.54
"4639",-74.44
"4640",-64.24
"4641",-52.58
"4642",-41.58
"4643",-32.46
"4644",-25.32
"4645",-19.31
"4646",-13.34
"4647",-6.56
"4648",1.3
"4649",9.82
"4650",18.05
"4651",24.94
"4652",29.67
"4653",31.99
"4654",32.28
"4655",31.26
"4656",29.9
"4657",29.01
"4658",28.96
"4659",29.68
"4660",30.87
"4661",32.19
"4662",33.46
"4663",34.99
"4664",37.07
"4665",40.14
"4666",44.43
"4667",49.8
"4668",55.93
"4669",62.41
"4670",68.78
"4671",74.48
"4672",78.95
"4673",81.44
"4674",81.35
"4675",78.35
"4676",72.51
"4677",64.49
"4678",55.39
"4679",46.45
"4680",38.63
"4681",32.49
"4682",27.85
"4683",24.21
"4684",20.82
"4685",16.97
"4686",12.34
"4687",6.69
"4688",-0.06
"4689",-8
"4690",-17.15
"4691",-27.57
"4692",-39.07
"4693",-51.24
"4694",-63.53
"4695",-74.93
"4696",-84.36
"4697",-90.53
"4698",-92.26
"4699",-88.78
"4700",-80.15
"4701",-67.36
"4702",-52.09
"4703",-36.36
"4704",-21.88
"4705",-9.9
"4706",-0.94
"4707",4.91
"4708",7.95
"4709",8.8
"4710",8.26
"4711",7.39
"4712",7.11
"4713",8.1
"4714",10.61
"4715",14.49
"4716",19.33
"4717",24.69
"4718",30.26
"4719",35.91
"4720",41.7
"4721",47.69
"4722",53.81
"4723",59.71
"4724",64.83
"4725",68.39
"4726",69.49
"4727",67.59
"4728",62.56
"4729",54.94
"4730",45.77
"4731",36.32
"4732",27.68
"4733",20.7
"4734",15.96
"4735",13.65
"4736",14
"4737",16.78
"4738",21.42
"4739",26.78
"4740",31.35
"4741",33.69
"4742",33.06
"4743",29.73
"4744",24.75
"4745",19.36
"4746",14.39
"4747",9.99
"4748",5.88
"4749",1.78
"4750",-2.22
"4751",-5.61
"4752",-7.92
"4753",-9.08
"4754",-9.71
"4755",-10.93
"4756",-13.73
"4757",-18.33
"4758",-24.1
"4759",-29.79
"4760",-34.12
"4761",-36.39
"4762",-36.55
"4763",-35.09
"4764",-32.75
"4765",-30.02
"4766",-26.92
"4767",-23.29
"4768",-18.93
"4769",-14
"4770",-8.93
"4771",-4.16
"4772",0.04
"4773",3.71
"4774",7.05
"4775",10.23
"4776",13.19
"4777",15.63
"4778",17.13
"4779",17.5
"4780",16.97
"4781",16.22
"4782",16.11
"4783",17.29
"4784",19.8
"4785",23.18
"4786",26.82
"4787",30.32
"4788",33.73
"4789",37.37
"4790",41.35
"4791",45.23
"4792",48.08
"4793",49.11
"4794",48.54
"4795",47.94
"4796",49.51
"4797",55.06
"4798",65
"4799",78.18
"4800",92.71
"4801",106.85
"4802",119.41
"4803",129.15
"4804",134.19
"4805",131.38
"4806",117.05
"4807",88.83
"4808",47.75
"4809",-0.93
"4810",-48.97
"4811",-88.01
"4812",-112.77
"4813",-122.38
"4814",-119.94
"4815",-110.03
"4816",-96.36
"4817",-80.23
"4818",-61.21
"4819",-38.9
"4820",-14.7
"4821",7.88
"4822",24.51
"4823",32.14
"4824",30.62
"4825",22.65
"4826",12.29
"4827",3.11
"4828",-3.27
"4829",-7.21
"4830",-10.17
"4831",-13.39
"4832",-16.98
"4833",-19.85
"4834",-20.05
"4835",-16.3
"4836",-8.42
"4837",2.29
"4838",13.7
"4839",23.6
"4840",30.61
"4841",34.6
"4842",36.56
"4843",38.14
"4844",40.57
"4845",44.35
"4846",48.97
"4847",53.35
"4848",56.43
"4849",57.76
"4850",57.53
"4851",56.31
"4852",54.7
"4853",52.77
"4854",50.24
"4855",46.7
"4856",42.01
"4857",36.48
"4858",30.81
"4859",25.78
"4860",21.8
"4861",18.87
"4862",16.52
"4863",14.25
"4864",11.79
"4865",9.1
"4866",6.42
"4867",3.91
"4868",1.58
"4869",-0.76
"4870",-3.29
"4871",-6.16
"4872",-9.33
"4873",-12.66
"4874",-16.16
"4875",-19.86
"4876",-24.03
"4877",-28.93
"4878",-34.78
"4879",-41.54
"4880",-49.04
"4881",-56.94
"4882",-64.7
"4883",-71.82
"4884",-77.6
"4885",-81.34
"4886",-82.41
"4887",-80.23
"4888",-74.48
"4889",-65.2
"4890",-53.03
"4891",-39.07
"4892",-24.81
"4893",-11.69
"4894",-0.83
"4895",7.19
"4896",12.39
"4897",15.24
"4898",16.49
"4899",16.85
"4900",16.92
"4901",17.08
"4902",17.56
"4903",18.3
"4904",19.09
"4905",19.64
"4906",19.67
"4907",19.09
"4908",17.9
"4909",16.24
"4910",14.19
"4911",11.92
"4912",9.56
"4913",7.22
"4914",5.04
"4915",2.97
"4916",0.97
"4917",-1.07
"4918",-3.17
"4919",-5.31
"4920",-7.41
"4921",-9.43
"4922",-11.46
"4923",-13.66
"4924",-16.31
"4925",-19.51
"4926",-23.13
"4927",-26.68
"4928",-29.45
"4929",-30.69
"4930",-29.69
"4931",-26.03
"4932",-19.77
"4933",-11.5
"4934",-2.35
"4935",6.4
"4936",13.65
"4937",18.81
"4938",21.85
"4939",23.2
"4940",23.53
"4941",23.34
"4942",22.91
"4943",22.21
"4944",21.03
"4945",19.19
"4946",16.55
"4947",13.18
"4948",9.18
"4949",4.84
"4950",0.53
"4951",-3.45
"4952",-6.76
"4953",-9.27
"4954",-11.05
"4955",-12.31
"4956",-13.44
"4957",-14.91
"4958",-17.07
"4959",-20.09
"4960",-23.85
"4961",-27.99
"4962",-32.13
"4963",-35.88
"4964",-39.12
"4965",-41.84
"4966",-44.22
"4967",-46.3
"4968",-48.08
"4969",-49.37
"4970",-49.87
"4971",-49.39
"4972",-47.68
"4973",-44.76
"4974",-40.76
"4975",-35.92
"4976",-30.57
"4977",-25.05
"4978",-19.76
"4979",-14.97
"4980",-11.04
"4981",-8.12
"4982",-6.2
"4983",-5.1
"4984",-4.47
"4985",-3.91
"4986",-3.22
"4987",-2.31
"4988",-1.24
"4989",-0.35
"4990",0.02
"4991",-0.52
"4992",-2.21
"4993",-5.06
"4994",-8.83
"4995",-13.1
"4996",-17.3
"4997",-20.81
"4998",-23.35
"4999",-24.85
"5000",-25.49
"5001",-25.55
"5002",-25.27
"5003",-24.85
"5004",-24.44
"5005",-24.13
"5006",-24.05
"5007",-24.34
"5008",-25.02
"5009",-25.93
"5010",-26.87
"5011",-27.52
"5012",-27.6
"5013",-26.89
"5014",-25.21
"5015",-22.42
"5016",-18.57
"5017",-13.74
"5018",-8.08
"5019",-1.98
"5020",4.27
"5021",10.32
"5022",15.86
"5023",20.6
"5024",24.39
"5025",27.05
"5026",28.57
"5027",29.01
"5028",28.46
"5029",27.19
"5030",25.5
"5031",23.65
"5032",21.82
"5033",20.11
"5034",18.4
"5035",16.63
"5036",14.75
"5037",12.71
"5038",10.7
"5039",8.86
"5040",7.23
"5041",5.68
"5042",4
"5043",1.89
"5044",-0.77
"5045",-3.98
"5046",-7.67
"5047",-11.55
"5048",-15.36
"5049",-18.85
"5050",-21.81
"5051",-24.06
"5052",-25.61
"5053",-26.5
"5054",-26.88
"5055",-27.04
"5056",-27.03
"5057",-26.86
"5058",-26.32
"5059",-25.11
"5060",-23.1
"5061",-20.39
"5062",-17.25
"5063",-14.07
"5064",-11.3
"5065",-9.1
"5066",-7.69
"5067",-7.17
"5068",-7.62
"5069",-9.05
"5070",-11.34
"5071",-14.1
"5072",-16.71
"5073",-18.61
"5074",-19.26
"5075",-18.41
"5076",-16.1
"5077",-12.58
"5078",-8.35
"5079",-3.82
"5080",0.67
"5081",4.98
"5082",9.04
"5083",12.86
"5084",16.39
"5085",19.46
"5086",21.93
"5087",23.62
"5088",24.6
"5089",25.03
"5090",25.21
"5091",25.46
"5092",25.94
"5093",26.68
"5094",27.59
"5095",28.53
"5096",29.21
"5097",29.32
"5098",28.47
"5099",26.3
"5100",22.79
"5101",18.17
"5102",13.1
"5103",8.39
"5104",4.91
"5105",3.34
"5106",3.9
"5107",6.49
"5108",10.62
"5109",15.68
"5110",20.92
"5111",25.75
"5112",29.68
"5113",32.53
"5114",34.28
"5115",35.1
"5116",35.16
"5117",34.55
"5118",33.38
"5119",31.66
"5120",29.36
"5121",26.4
"5122",22.71
"5123",18.3
"5124",13.35
"5125",8.09
"5126",2.86
"5127",-1.91
"5128",-5.89
"5129",-8.9
"5130",-10.98
"5131",-12.41
"5132",-13.64
"5133",-15.17
"5134",-17.45
"5135",-20.66
"5136",-24.8
"5137",-29.52
"5138",-34.33
"5139",-38.65
"5140",-42
"5141",-44.1
"5142",-44.84
"5143",-44.36
"5144",-42.87
"5145",-40.59
"5146",-37.53
"5147",-33.42
"5148",-27.77
"5149",-20.2
"5150",-10.52
"5151",1.17
"5152",14.56
"5153",29.2
"5154",44.61
"5155",60.29
"5156",75.67
"5157",89.68
"5158",101.22
"5159",109.69
"5160",115.13
"5161",118.22
"5162",119.91
"5163",121.05
"5164",122.14
"5165",123.33
"5166",124.29
"5167",124.77
"5168",124.92
"5169",125.13
"5170",125.47
"5171",125.24
"5172",122.89
"5173",116.57
"5174",104.82
"5175",86.75
"5176",62.99
"5177",35.9
"5178",8.81
"5179",-15.12
"5180",-33.57
"5181",-45.09
"5182",-48.55
"5183",-43.34
"5184",-31.67
"5185",-16.57
"5186",-0.97
"5187",12.96
"5188",23.51
"5189",29.38
"5190",30.13
"5191",26.79
"5192",21.24
"5193",11.31
"5194",-4.75
"5195",-26.39
"5196",-50.17
"5197",-72.04
"5198",-89.61
"5199",-102.63
"5200",-111.95
"5201",-118.4
"5202",-128.85
"5203",-147.82
"5204",-175.51
"5205",-207.95
"5206",-241.49
"5207",-275.4
"5208",-311.01
"5209",-348.89
"5210",-387.69
"5211",-433.14
"5212",-488.55
"5213",-552.58
"5214",-618.81
"5215",-680.51
"5216",-734.18
"5217",-779.59
"5218",-817.44
"5219",-795.2
"5220",-682.97
"5221",-489.7
"5222",-261.18
"5223",-45.77
"5224",130.65
"5225",263.57
"5226",359.09
"5227",426.61
"5228",474.86
"5229",500.55
"5230",503.92
"5231",489.04
"5232",466.27
"5233",447.6
"5234",441.27
"5235",449.92
"5236",471.37
"5237",499.94
"5238",522.22
"5239",525.9
"5240",505.38
"5241",464.43
"5242",412
"5243",356.1
"5244",301.18
"5245",248.62
"5246",198.1
"5247",145.48
"5248",89.41
"5249",32.83
"5250",-17.28
"5251",-54.06
"5252",-74.23
"5253",-78.96
"5254",-72.17
"5255",-58.87
"5256",-45.23
"5257",-35.31
"5258",-30.28
"5259",-28.57
"5260",-28.07
"5261",-27.7
"5262",-27.78
"5263",-28.99
"5264",-31.57
"5265",-35.77
"5266",-41.36
"5267",-47.71
"5268",-54.19
"5269",-60.43
"5270",-66.26
"5271",-71.16
"5272",-74.25
"5273",-74.77
"5274",-72.45
"5275",-67.93
"5276",-62.38
"5277",-57
"5278",-52.6
"5279",-49.31
"5280",-46.75
"5281",-44.27
"5282",-41.3
"5283",-37.51
"5284",-33.01
"5285",-28.22
"5286",-23.64
"5287",-19.58
"5288",-15.88
"5289",-12.16
"5290",-8.05
"5291",-3.5
"5292",1.05
"5293",4.91
"5294",7.46
"5295",8.53
"5296",8.46
"5297",8.02
"5298",7.78
"5299",8
"5300",8.43
"5301",8.59
"5302",8.01
"5303",6.65
"5304",4.84
"5305",3.09
"5306",1.93
"5307",1.45
"5308",1.35
"5309",1.05
"5310",0.06
"5311",-1.76
"5312",-4.03
"5313",-6.25
"5314",-7.98
"5315",-9.17
"5316",-10.13
"5317",-11.27
"5318",-12.89
"5319",-14.82
"5320",-16.44
"5321",-16.85
"5322",-15.41
"5323",-11.92
"5324",-6.73
"5325",-0.71
"5326",5.24
"5327",10.3
"5328",13.83
"5329",15.34
"5330",14.35
"5331",10.44
"5332",3.78
"5333",-4.61
"5334",-13.16
"5335",-20.12
"5336",-24.48
"5337",-26.4
"5338",-26.94
"5339",-27.33
"5340",-28.23
"5341",-29.28
"5342",-29.42
"5343",-27.51
"5344",-22.93
"5345",-16.06
"5346",-8.12
"5347",-0.45
"5348",5.97
"5349",10.87
"5350",14.53
"5351",17.23
"5352",18.73
"5353",18.25
"5354",14.85
"5355",8.13
"5356",-1.42
"5357",-12.6
"5358",-24.02
"5359",-34.85
"5360",-44.91
"5361",-54.22
"5362",-62.61
"5363",-69.62
"5364",-74.89
"5365",-78.49
"5366",-81.34
"5367",-85.13
"5368",-92.04
"5369",-103.81
"5370",-120.64
"5371",-140.69
"5372",-160.23
"5373",-175.02
"5374",-181.91
"5375",-179.85
"5376",-170.03
"5377",-155.07
"5378",-137.71
"5379",-119.79
"5380",-102.52
"5381",-86.88
"5382",-74.61
"5383",-67.98
"5384",-68.72
"5385",-76.87
"5386",-90.17
"5387",-104.68
"5388",-116.05
"5389",-121.33
"5390",-119.14
"5391",-109.95
"5392",-95.39
"5393",-77.49
"5394",-58.12
"5395",-38.54
"5396",-19.1
"5397",0.77
"5398",21.98
"5399",46.28
"5400",75.83
"5401",112.19
"5402",155.42
"5403",203.48
"5404",252.68
"5405",298.94
"5406",339.18
"5407",372.37
"5408",399.74
"5409",423.41
"5410",444.55
"5411",462.66
"5412",475.82
"5413",481.76
"5414",479.16
"5415",467.69
"5416",447.57
"5417",418.92
"5418",381.56
"5419",335.19
"5420",280.77
"5421",220.95
"5422",159.75
"5423",101.29
"5424",48.25
"5425",1.01
"5426",-42.43
"5427",-85.36
"5428",-130.71
"5429",-179.35
"5430",-230
"5431",-279.37
"5432",-322.36
"5433",-353.51
"5434",-368.77
"5435",-367.3
"5436",-352.55
"5437",-332
"5438",-315.45
"5439",-312.21
"5440",-328
"5441",-362.31
"5442",-408.27
"5443",-454.59
"5444",-488.74
"5445",-500.5
"5446",-484.17
"5447",-439.28
"5448",-370.13
"5449",-284.68
"5450",-192.91
"5451",-105.21
"5452",-30.71
"5453",24.46
"5454",58.28
"5455",72.79
"5456",72.84
"5457",64.15
"5458",51.68
"5459",39.08
"5460",29.09
"5461",24.3
"5462",27.29
"5463",39.54
"5464",60.51
"5465",87.13
"5466",114.5
"5467",137.63
"5468",153.27
"5469",160.69
"5470",161.24
"5471",157.1
"5472",150.04
"5473",140.91
"5474",130.03
"5475",117.76
"5476",105.09
"5477",93.61
"5478",84.81
"5479",79.69
"5480",78.42
"5481",80.29
"5482",84.21
"5483",89.09
"5484",94.27
"5485",99.52
"5486",104.8
"5487",109.9
"5488",114.23
"5489",116.84
"5490",116.53
"5491",112.54
"5492",104.76
"5493",93.46
"5494",79.09
"5495",62.12
"5496",43.1
"5497",23.11
"5498",4.09
"5499",-11.67
"5500",-22.13
"5501",-26.38
"5502",-25.42
"5503",-21.86
"5504",-18.95
"5505",-19.17
"5506",-23.23
"5507",-30.34
"5508",-39.52
"5509",-49.86
"5510",-60.27
"5511",-69.3
"5512",-75.21
"5513",-76.68
"5514",-73.27
"5515",-65.35
"5516",-54.09
"5517",-42.04
"5518",-31.62
"5519",-23.86
"5520",-18.31
"5521",-13.9
"5522",-10.11
"5523",-7.04
"5524",-4.6
"5525",-2.6
"5526",-2.34
"5527",-5.31
"5528",-11.64
"5529",-19.32
"5530",-24.88
"5531",-25.17
"5532",-18.42
"5533",-4.79
"5534",13.19
"5535",29.03
"5536",35.4
"5537",27.43
"5538",4.59
"5539",-30.47
"5540",-74.22
"5541",-123.44
"5542",-175.32
"5543",-213.37
"5544",-222.24
"5545",-197.47
"5546",-149.27
"5547",-92.63
"5548",-38.1
"5549",9.21
"5550",47.61
"5551",77.23
"5552",98.86
"5553",111.58
"5554",114.71
"5555",108.94
"5556",97.01
"5557",82.75
"5558",69
"5559",57.3
"5560",48.16
"5561",40.91
"5562",32.41
"5563",18.35
"5564",-4.94
"5565",-38.25
"5566",-79.12
"5567",-122.17
"5568",-159.52
"5569",-182.32
"5570",-183.42
"5571",-161.27
"5572",-120.32
"5573",-69.33
"5574",-17.81
"5575",26.61
"5576",59.97
"5577",82.03
"5578",95.29
"5579",103.37
"5580",109.21
"5581",115.07
"5582",122.99
"5583",134.59
"5584",149.22
"5585",163.01
"5586",169.49
"5587",162.54
"5588",139.74
"5589",104.6
"5590",66.19
"5591",36.05
"5592",24.13
"5593",34.57
"5594",64.46
"5595",105.19
"5596",145.7
"5597",176.11
"5598",190.03
"5599",185.52
"5600",164.69
"5601",132.49
"5602",95.09
"5603",58.35
"5604",26.72
"5605",2.73
"5606",-12.76
"5607",-20.32
"5608",-21.67
"5609",-19.59
"5610",-17.28
"5611",-17.45
"5612",-21.19
"5613",-27.55
"5614",-34.02
"5615",-37.58
"5616",-36.22
"5617",-29.94
"5618",-20.67
"5619",-11.46
"5620",-5.47
"5621",-4.81
"5622",-10.02
"5623",-20.12
"5624",-32.75
"5625",-44.93
"5626",-53.97
"5627",-58.49
"5628",-58.91
"5629",-57.35
"5630",-56.47
"5631",-58.18
"5632",-62.77
"5633",-68.74
"5634",-73.64
"5635",-75.21
"5636",-72.19
"5637",-64.58
"5638",-53.38
"5639",-39.77
"5640",-24.74
"5641",-9.07
"5642",6.27
"5643",19.81
"5644",29.64
"5645",34.26
"5646",33.41
"5647",28.48
"5648",22.2
"5649",17.61
"5650",17.01
"5651",20.97
"5652",28.27
"5653",36.65
"5654",44.1
"5655",49.33
"5656",51.84
"5657",51.32
"5658",47.77
"5659",41.49
"5660",33.23
"5661",24.12
"5662",15.57
"5663",9.1
"5664",5.49
"5665",3.98
"5666",2.42
"5667",-1.35
"5668",-7.93
"5669",-16.25
"5670",-24.09
"5671",-29.06
"5672",-29.33
"5673",-24.49
"5674",-16.45
"5675",-8.7
"5676",-4.39
"5677",-4.38
"5678",-7.63
"5679",-11.76
"5680",-14.08
"5681",-11.98
"5682",-4.75
"5683",4.75
"5684",9.72
"5685",2.13
"5686",-23.63
"5687",-69.38
"5688",-132.07
"5689",-205.21
"5690",-279.97
"5691",-340.2
"5692",-367.12
"5693",-353.18
"5694",-308.85
"5695",-252.78
"5696",-199.58
"5697",-155.09
"5698",-120.16
"5699",-87.4
"5700",-51.26
"5701",-9.83
"5702",35.27
"5703",81.49
"5704",128.12
"5705",169.17
"5706",200.68
"5707",220.3
"5708",228.47
"5709",227.57
"5710",220.85
"5711",210.75
"5712",198.54
"5713",184.8
"5714",168.84
"5715",149.9
"5716",127.25
"5717",101.9
"5718",76.26
"5719",53.34
"5720",35.05
"5721",21.3
"5722",10.72
"5723",1.48
"5724",-6.39
"5725",-11.2
"5726",-9.97
"5727",-0.58
"5728",16.6
"5729",38.44
"5730",60.89
"5731",81.2
"5732",98.62
"5733",114.06
"5734",127.68
"5735",138.15
"5736",142.8
"5737",139.3
"5738",127.37
"5739",109.45
"5740",89.96
"5741",72.99
"5742",60.87
"5743",53.46
"5744",48.88
"5745",44.79
"5746",39.55
"5747",32.57
"5748",24.07
"5749",14.66
"5750",4.76
"5751",-5.47
"5752",-16.3
"5753",-28.43
"5754",-42.5
"5755",-58.5
"5756",-75.17
"5757",-90.29
"5758",-101.38
"5759",-106.83
"5760",-106.77
"5761",-103
"5762",-98.2
"5763",-94.7
"5764",-93.71
"5765",-95.18
"5766",-98.61
"5767",-103.65
"5768",-110.59
"5769",-120.12
"5770",-132.66
"5771",-147.96
"5772",-164.9
"5773",-182.2
"5774",-199.03
"5775",-214.9
"5776",-228.57
"5777",-236.97
"5778",-234.75
"5779",-215.57
"5780",-174.91
"5781",-112.75
"5782",-34.76
"5783",49.12
"5784",128.16
"5785",194.81
"5786",246.42
"5787",284.65
"5788",312.78
"5789",332.95
"5790",345.1
"5791",347.62
"5792",339.3
"5793",320.76
"5794",294.61
"5795",264.34
"5796",232.77
"5797",201.18
"5798",169.38
"5799",136.78
"5800",103.41
"5801",70.6
"5802",40.54
"5803",15.49
"5804",-3.36
"5805",-16.47
"5806",-25.79
"5807",-33.88
"5808",-42.81
"5809",-53.46
"5810",-65.27
"5811",-76.83
"5812",-86.5
"5813",-93.25
"5814",-96.82
"5815",-97.63
"5816",-96.49
"5817",-94.1
"5818",-90.98
"5819",-87.21
"5820",-82.57
"5821",-76.57
"5822",-68.61
"5823",-58.13
"5824",-44.87
"5825",-29.11
"5826",-11.82
"5827",5.54
"5828",21.45
"5829",34.77
"5830",45.09
"5831",52.85
"5832",58.95
"5833",64.33
"5834",69.48
"5835",74.44
"5836",78.89
"5837",82.49
"5838",84.99
"5839",86.16
"5840",85.95
"5841",84.44
"5842",81.82
"5843",78.27
"5844",73.96
"5845",68.71
"5846",62.15
"5847",53.87
"5848",43.74
"5849",32.14
"5850",19.86
"5851",7.66
"5852",-4.13
"5853",-15.51
"5854",-26.61
"5855",-37.21
"5856",-46.63
"5857",-53.93
"5858",-58.35
"5859",-59.63
"5860",-58.11
"5861",-54.51
"5862",-49.69
"5863",-44.53
"5864",-39.87
"5865",-36.32
"5866",-34.27
"5867",-33.55
"5868",-33.69
"5869",-34.18
"5870",-35.05
"5871",-36.88
"5872",-40.61
"5873",-46.8
"5874",-54.99
"5875",-63.65
"5876",-70.81
"5877",-75.02
"5878",-75.94
"5879",-74.46
"5880",-72.05
"5881",-69.95
"5882",-68.64
"5883",-67.67
"5884",-66.31
"5885",-63.83
"5886",-59.86
"5887",-53.99
"5888",-45.64
"5889",-33.9
"5890",-18.11
"5891",1.33
"5892",22.74
"5893",43.26
"5894",60.06
"5895",71.35
"5896",77.07
"5897",78.73
"5898",78.66
"5899",78.8
"5900",80.05
"5901",82.16
"5902",84.05
"5903",84.46
"5904",82.53
"5905",77.83
"5906",70.35
"5907",60.13
"5908",47.06
"5909",30.77
"5910",11.17
"5911",-11.35
"5912",-35.7
"5913",-60.1
"5914",-82.78
"5915",-102.33
"5916",-117.98
"5917",-129.32
"5918",-135.96
"5919",-137.53
"5920",-134.26
"5921",-127.32
"5922",-118.91
"5923",-111.59
"5924",-107.21
"5925",-106.26
"5926",-107.91
"5927",-110.58
"5928",-112.53
"5929",-112.43
"5930",-109.04
"5931",-101.05
"5932",-87.34
"5933",-67.52
"5934",-42.67
"5935",-15.55
"5936",10.15
"5937",30.77
"5938",44.03
"5939",49.81
"5940",50
"5941",47.4
"5942",44.38
"5943",41.69
"5944",38.16
"5945",31.56
"5946",19.79
"5947",1.86
"5948",-21.36
"5949",-47.66
"5950",-74.32
"5951",-98.8
"5952",-119.09
"5953",-133.55
"5954",-140.79
"5955",-139.99
"5956",-131.52
"5957",-117.19
"5958",-99.86
"5959",-82.31
"5960",-66.04
"5961",-50.87
"5962",-35.58
"5963",-18.91
"5964",-0.58
"5965",18.28
"5966",35.6
"5967",49.11
"5968",57.39
"5969",60.38
"5970",59.2
"5971",55.59
"5972",51.31
"5973",47.68
"5974",45.25
"5975",43.69
"5976",41.91
"5977",38.63
"5978",33.2
"5979",26
"5980",18.17
"5981",10.89
"5982",4.6
"5983",-1.4
"5984",-8.34
"5985",-17.09
"5986",-27.28
"5987",-37.09
"5988",-43.71
"5989",-44.65
"5990",-38.98
"5991",-27.76
"5992",-13.78
"5993",-0.35
"5994",9.45
"5995",13.52
"5996",10.81
"5997",1.52
"5998",-13.03
"5999",-30.5
"6000",-47.73
"6001",-61.29
"6002",-68
"6003",-65.7
"6004",-53.66
"6005",-32.93
"6006",-6.2
"6007",22.41
"6008",48.05
"6009",66.01
"6010",72.72
"6011",66.74
"6012",49.26
"6013",23.83
"6014",-4.64
"6015",-30.98
"6016",-50.65
"6017",-60.29
"6018",-58.05
"6019",-44.1
"6020",-20.99
"6021",6.51
"6022",32.3
"6023",50.7
"6024",58.25
"6025",54.93
"6026",43.84
"6027",29.73
"6028",16.89
"6029",7.7
"6030",2.27
"6031",-0.89
"6032",-3.78
"6033",-8.1
"6034",-14.99
"6035",-25.26
"6036",-39.1
"6037",-55.83
"6038",-73.54
"6039",-89.23
